City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Helena,46.5927,-112.0361,75.2,15,1,12.66,US,1619834410
Saint-Philippe,-21.3585,55.7679,73.4,78,0,6.91,RE,1619834361
Mataura,-46.1927,168.8643,55.0,74,93,7.0,NZ,1619834413
Hong Kong,22.2855,114.1577,81.0,80,98,1.01,HK,1619834129
Thompson,55.7435,-97.8558,32.0,100,90,5.75,CA,1619834316
Tabou,4.423,-7.3528,80.17,79,100,4.54,CI,1619834416
Mozarlândia,-14.7447,-50.5706,72.5,82,100,4.41,BR,1619834417
Tigil',57.8,158.6667,43.18,72,90,7.09,RU,1619834418
Port Alfred,-33.5906,26.891,58.42,82,4,13.56,ZA,1619834419
Hermanus,-34.4187,19.2345,52.0,81,0,1.99,ZA,1619834420
Ucluelet,48.9329,-125.5528,52.0,93,90,6.91,CA,1619834421
Ushuaia,-54.8,-68.3,37.4,93,20,2.3,AR,1619834267
Yurga,55.7231,84.8861,46.92,62,42,8.39,RU,1619834422
Vaini,-21.2,-175.2,78.8,89,75,12.66,TO,1619834425
Arraial do Cabo,-22.9661,-42.0278,71.76,65,40,7.67,BR,1619834426
Albanel,48.8832,-72.4487,51.8,66,100,6.91,CA,1619834427
Saint George,37.1041,-113.5841,89.6,11,1,9.22,US,1619834428
Ratnagiri,16.9833,73.3,83.8,68,46,4.5,IN,1619834176
Severo-Kuril'sk,50.6789,156.125,35.44,96,100,22.19,RU,1619834430
Kahului,20.8947,-156.47,80.6,69,40,21.85,US,1619834430
Atuona,-9.8,-139.0333,79.36,68,0,1.25,PF,1619834431
Walvis Bay,-22.9575,14.5053,57.0,100,0,6.91,NA,1619834432
Rikitea,-23.1203,-134.9692,78.93,78,74,20.11,PF,1619834432
Sibolga,1.7427,98.7792,83.03,66,94,1.66,ID,1619834434
Cape Town,-33.9258,18.4232,57.99,82,0,9.22,ZA,1619834258
Uarini,-2.99,-65.1083,72.77,97,100,0.98,BR,1619834435
Cayenne,4.9333,-52.3333,78.01,94,0,2.3,GF,1619834436
Talnakh,69.4865,88.3972,26.51,77,12,2.75,RU,1619834437
Khatanga,71.9667,102.5,33.42,90,100,9.42,RU,1619834439
Punta Arenas,-53.15,-70.9167,42.8,93,90,4.61,CL,1619834439
La Ronge,55.1001,-105.2842,68.0,24,37,11.5,CA,1619834440
Barrow,71.2906,-156.7887,21.2,79,90,4.61,US,1619834441
Ushirombo,-3.4919,31.9639,62.74,96,100,2.46,TZ,1619834443
Wukari,7.85,9.7833,82.69,66,90,10.89,NG,1619834448
Busselton,-33.65,115.3333,62.01,78,100,1.99,AU,1619834449
Carnarvon,-24.8667,113.6333,69.8,46,100,13.8,AU,1619834450
Torbay,47.6666,-52.7314,37.0,100,90,21.85,CA,1619834451
Vilyuysk,63.7553,121.6247,35.56,97,100,6.51,RU,1619834452
Olinda,-8.0089,-34.8553,77.0,73,40,8.05,BR,1619834452
Juneau,58.3019,-134.4197,44.6,81,90,10.36,US,1619834454
Chokurdakh,70.6333,147.9167,21.42,81,9,5.91,RU,1619834457
Moctezuma,29.8,-109.6667,78.26,18,23,19.69,MX,1619834458
Silver City,32.7701,-108.2803,60.8,36,1,12.66,US,1619834459
Mandan,46.8267,-100.8896,73.4,37,1,10.36,US,1619834344
Port Elizabeth,-33.918,25.5701,57.2,67,0,8.05,ZA,1619834462
Jamestown,42.097,-79.2353,39.99,69,90,11.5,US,1619834363
Albany,42.6001,-73.9662,45.0,74,81,4.0,US,1619834326
Bambous Virieux,-20.3428,57.7575,78.01,78,40,11.5,MU,1619834468
Ahipara,-35.1667,173.1667,65.77,62,32,12.33,NZ,1619834469
Barkhan,29.8977,69.5256,77.68,29,6,5.1,PK,1619834420
Sola,-13.8833,167.55,78.06,83,99,17.4,VU,1619834471
Hobart,-42.8794,147.3294,66.99,45,0,8.05,AU,1619834406
Yangi Marg`ilon,40.4272,71.7189,62.6,59,48,6.91,UZ,1619834474
Longyearbyen,78.2186,15.6401,12.2,62,20,14.97,SJ,1619834474
Coyhaique,-45.5752,-72.0662,48.2,93,100,1.14,CL,1619834476
Kapaa,22.0752,-159.319,73.99,88,90,10.36,US,1619834476
Aklavik,68.2191,-135.0107,35.6,60,100,5.75,CA,1619834477
Ust'-Ilimsk,58.0006,102.6619,42.87,79,22,8.41,RU,1619834478
Antalaha,-14.9003,50.2788,73.63,91,12,6.06,MG,1619834479
Yambio,4.5721,28.3955,67.42,95,99,3.51,SS,1619834480
Kuching,1.55,110.3333,82.4,78,20,3.44,MY,1619834327
Maltahöhe,-24.8333,16.9833,50.27,39,0,12.26,NA,1619834481
Ekhabi,53.5102,142.9671,35.17,81,100,9.89,RU,1619834481
Hilo,19.7297,-155.09,84.2,54,75,10.36,US,1619834318
Koutsouras,35.0339,25.9469,70.36,45,18,3.85,GR,1619834484
Kattivākkam,13.2167,80.3167,84.99,83,40,8.03,IN,1619834485
Shahrud,36.4182,54.9763,59.61,51,0,5.7,IR,1619834488
Portland,45.5234,-122.6762,63.0,80,100,1.01,US,1619834182
Isangel,-19.55,169.2667,84.2,65,75,5.75,VU,1619834490
Fortuna,40.5982,-124.1573,55.99,100,75,10.36,US,1619834491
Banda Aceh,5.5577,95.3222,83.25,73,55,7.09,ID,1619834306
Bengkulu,-3.8004,102.2655,80.67,74,100,2.19,ID,1619834366
Bankra,22.6275,88.2981,82.4,57,2,12.97,IN,1619834493
Guerrero Negro,27.9769,-114.0611,70.23,52,0,18.97,MX,1619834494
Meulaboh,4.1363,96.1285,80.19,80,97,3.27,ID,1619834495
Thinadhoo,0.5333,72.9333,82.94,68,69,2.59,MV,1619834496
San Antonio,29.4241,-98.4936,66.2,94,90,9.22,US,1619834390
Guánica,17.9716,-66.908,77.0,75,5,8.97,PR,1619834501
Cabo San Lucas,22.8909,-109.9124,78.8,34,1,11.5,MX,1619834316
